,Commune,Année,Population_nombre-hbt
611,Hermance,2011,943.0
612,Hermance,2012,974.0
613,Hermance,2013,969.0
614,Hermance,2014,1018.0
615,Hermance,2015,1016.0
616,Hermance,2016,1014.0
617,Hermance,2017,1035.0
618,Hermance,2018,1075.0
619,Hermance,2019,1054.0
620,Hermance,2020,1079.0
621,Hermance,2021,1157.0
622,Hermance,2022,1221.0
623,Hermance,2023,1248.0
624,Hermance,2024,1253.0
625,Jussy,2000,1114.0
626,Jussy,2001,1187.0
627,Jussy,2002,1171.0
628,Jussy,2003,1199.0
629,Jussy,2004,1202.0
630,Jussy,2005,1204.0
631,Jussy,2006,1243.0
632,Jussy,2007,1278.0
633,Jussy,2008,1265.0
634,Jussy,2009,1223.0
635,Jussy,2010,1213.0
636,Jussy,2011,1186.0
637,Jussy,2012,1207.0
638,Jussy,2013,1259.0
639,Jussy,2014,1275.0
640,Jussy,2015,1279.0
641,Jussy,2016,1269.0
642,Jussy,2017,1292.0
643,Jussy,2018,1273.0
644,Jussy,2019,1239.0
645,Jussy,2020,1234.0
646,Jussy,2021,1212.0
647,Jussy,2022,1209.0
648,Jussy,2023,1174.0
649,Jussy,2024,1223.0
650,Laconnex,2000,534.0
651,Laconnex,2001,536.0
652,Laconnex,2002,545.0
653,Laconnex,2003,541.0
654,Laconnex,2004,564.0
655,Laconnex,2005,597.0
656,Laconnex,2006,617.0
657,Laconnex,2007,628.0
658,Laconnex,2008,630.0
659,Laconnex,2009,627.0
660,Laconnex,2010,608.0
661,Laconnex,2011,619.0
662,Laconnex,2012,613.0
663,Laconnex,2013,611.0
664,Laconnex,2014,620.0
665,Laconnex,2015,664.0
666,Laconnex,2016,650.0
667,Laconnex,2017,681.0
668,Laconnex,2018,693.0
669,Laconnex,2019,692.0
670,Laconnex,2020,715.0
671,Laconnex,2021,689.0
672,Laconnex,2022,709.0
673,Laconnex,2023,676.0
674,Laconnex,2024,710.0
675,Lancy,2000,25620.0
676,Lancy,2001,25965.0
677,Lancy,2002,26255.0
678,Lancy,2003,26788.0
679,Lancy,2004,27010.0
680,Lancy,2005,27111.0
681,Lancy,2006,27492.0
682,Lancy,2007,27548.0
683,Lancy,2008,27889.0
684,Lancy,2009,28185.0
685,Lancy,2010,28766.0
686,Lancy,2011,28820.0
687,Lancy,2012,29146.0
688,Lancy,2013,29503.0
689,Lancy,2014,31126.0
690,Lancy,2015,31557.0
691,Lancy,2016,31761.0
692,Lancy,2017,32045.0
693,Lancy,2018,32994.0
694,Lancy,2019,33469.0
695,Lancy,2020,34044.0
696,Lancy,2021,34322.0
697,Lancy,2022,34828.0
698,Lancy,2023,36237.0
699,Lancy,2024,37234.0
700,Meinier,2000,1693.0
701,Meinier,2001,1692.0
702,Meinier,2002,1698.0
703,Meinier,2003,1758.0
704,Meinier,2004,1752.0
705,Meinier,2005,1752.0
706,Meinier,2006,1810.0
707,Meinier,2007,1787.0
708,Meinier,2008,1796.0
709,Meinier,2009,1812.0
710,Meinier,2010,1904.0
711,Meinier,2011,1882.0
712,Meinier,2012,2024.0
713,Meinier,2013,2060.0
714,Meinier,2014,2083.0
715,Meinier,2015,2145.0
716,Meinier,2016,2160.0
717,Meinier,2017,2151.0
718,Meinier,2018,2142.0
719,Meinier,2019,2124.0
720,Meinier,2020,2124.0
721,Meinier,2021,2098.0
722,Meinier,2022,2082.0
723,Meinier,2023,2083.0
724,Meinier,2024,2070.0
725,Meyrin,2000,19655.0
726,Meyrin,2001,20175.0
727,Meyrin,2002,20307.0
728,Meyrin,2003,20491.0
729,Meyrin,2004,20615.0
730,Meyrin,2005,20642.0
731,Meyrin,2006,20670.0
732,Meyrin,2007,20793.0
733,Meyrin,2008,21021.0
734,Meyrin,2009,21442.0
735,Meyrin,2010,21671.0
736,Meyrin,2011,22077.0
737,Meyrin,2012,22221.0
738,Meyrin,2013,21960.0
739,Meyrin,2014,22075.0
740,Meyrin,2015,22399.0
741,Meyrin,2016,23324.0
742,Meyrin,2017,24128.0
743,Meyrin,2018,25219.0
744,Meyrin,2019,25681.0
745,Meyrin,2020,26157.0
746,Meyrin,2021,26372.0
747,Meyrin,2022,26624.0
748,Meyrin,2023,26871.0
749,Meyrin,2024,27000.0
1125,Moyenne,2000,9190.777777777777
1126,Moyenne,2001,9381.444444444445
1127,Moyenne,2002,9504.555555555555
1128,Moyenne,2003,9654.955555555556
1129,Moyenne,2004,9744.066666666668
1130,Moyenne,2005,9799.6
1131,Moyenne,2006,9895.68888888889
1132,Moyenne,2007,9946.31111111111
1133,Moyenne,2008,10076.422222222222
1134,Moyenne,2009,10169.511111111111
1135,Moyenne,2010,10309.31111111111
1136,Moyenne,2011,10375.955555555556
1137,Moyenne,2012,10455.822222222223
1138,Moyenne,2013,10538.022222222222
1139,Moyenne,2014,10723.222222222223
1140,Moyenne,2015,10901.733333333334
1141,Moyenne,2016,10971.244444444445
1142,Moyenne,2017,11071.577777777778
1143,Moyenne,2018,11149.955555555556
1144,Moyenne,2019,11261.444444444445
1145,Moyenne,2020,11306.08888888889
1146,Moyenne,2021,11376.022222222222
1147,Moyenne,2022,11506.711111111112
1148,Moyenne,2023,11652.866666666667
1149,Moyenne,2024,11783.244444444445
750,Onex,2000,16479.0
751,Onex,2001,16602.0
752,Onex,2002,16752.0
753,Onex,2003,17170.0
754,Onex,2004,17447.0
755,Onex,2005,17357.0
756,Onex,2006,17380.0
757,Onex,2007,17328.0
758,Onex,2008,17348.0
759,Onex,2009,17421.0
760,Onex,2010,17714.0
761,Onex,2011,17674.0
762,Onex,2012,17943.0
763,Onex,2013,18079.0
764,Onex,2014,18366.0
765,Onex,2015,18697.0
766,Onex,2016,18863.0
767,Onex,2017,19015.0
768,Onex,2018,18966.0
769,Onex,2019,19102.0
770,Onex,2020,18992.0
771,Onex,2021,18885.0
772,Onex,2022,18846.0
773,Onex,2023,18876.0
774,Onex,2024,18943.0
775,Perly-Certoux,2000,2775.0
776,Perly-Certoux,2001,2731.0
777,Perly-Certoux,2002,2759.0
778,Perly-Certoux,2003,2786.0
779,Perly-Certoux,2004,2769.0
780,Perly-Certoux,2005,2759.0
781,Perly-Certoux,2006,2832.0
782,Perly-Certoux,2007,2851.0
783,Perly-Certoux,2008,2821.0
784,Perly-Certoux,2009,2874.0
785,Perly-Certoux,2010,2899.0
786,Perly-Certoux,2011,2962.0
787,Perly-Certoux,2012,3004.0
788,Perly-Certoux,2013,3065.0
789,Perly-Certoux,2014,3080.0
790,Perly-Certoux,2015,3046.0
791,Perly-Certoux,2016,3045.0
792,Perly-Certoux,2017,3091.0
793,Perly-Certoux,2018,3056.0
794,Perly-Certoux,2019,3107.0
795,Perly-Certoux,2020,3131.0
796,Perly-Certoux,2021,3129.0
797,Perly-Certoux,2022,3147.0
798,Perly-Certoux,2023,3185.0
799,Perly-Certoux,2024,3310.0
800,Plan-les-Ouates,2000,6803.0
801,Plan-les-Ouates,2001,7245.0
802,Plan-les-Ouates,2002,7482.0
803,Plan-les-Ouates,2003,7829.0
804,Plan-les-Ouates,2004,8631.0
805,Plan-les-Ouates,2005,8841.0
806,Plan-les-Ouates,2006,9015.0
807,Plan-les-Ouates,2007,9605.0
808,Plan-les-Ouates,2008,9800.0
809,Plan-les-Ouates,2009,9820.0
810,Plan-les-Ouates,2010,10008.0
811,Plan-les-Ouates,2011,10245.0
812,Plan-les-Ouates,2012,10309.0
813,Plan-les-Ouates,2013,10314.0
814,Plan-les-Ouates,2014,10344.0
815,Plan-les-Ouates,2015,10374.0
816,Plan-les-Ouates,2016,10603.0
817,Plan-les-Ouates,2017,10748.0
