,Commune,Année,Médiane_couples_mariés,Médiane_celibataire
252,Meinier,2010,159842.0,56768.0
253,Meinier,2011,153177.0,53670.0
254,Meinier,2012,153184.0,54110.0
255,Meinier,2013,158328.0,53573.0
256,Meinier,2014,159216.0,55271.0
257,Meinier,2015,160387.0,55548.0
258,Meinier,2016,161707.0,57020.0
259,Meinier,2017,158877.0,57004.0
260,Meinier,2018,152513.0,55109.0
261,Meyrin,2010,109034.0,48881.0
262,Meyrin,2011,109586.0,48668.0
263,Meyrin,2012,110160.0,47667.0
264,Meyrin,2013,109287.0,47826.0
265,Meyrin,2014,110527.0,51039.0
266,Meyrin,2015,110428.0,49556.0
267,Meyrin,2016,111979.0,49282.0
268,Meyrin,2017,112427.0,49089.0
269,Meyrin,2018,112334.0,49707.0
405,Moyenne,2010,163447.2888888889,50848.444444444445
406,Moyenne,2011,164465.3777777778,50676.555555555555
407,Moyenne,2012,164180.06666666668,49492.24444444444
408,Moyenne,2013,166510.06666666668,50138.0
409,Moyenne,2014,166306.75555555554,54275.46666666667
410,Moyenne,2015,167511.48888888888,54214.177777777775
411,Moyenne,2016,167337.44444444444,54608.555555555555
412,Moyenne,2017,168262.3777777778,54857.311111111114
413,Moyenne,2018,169978.88888888888,55258.066666666666
270,Onex,2010,110988.0,44909.0
271,Onex,2011,110861.0,45380.0
272,Onex,2012,111911.0,45303.0
273,Onex,2013,112109.0,44412.0
274,Onex,2014,113064.0,48378.0
275,Onex,2015,114169.0,48646.0
276,Onex,2016,114589.0,49199.0
277,Onex,2017,114533.0,48957.0
278,Onex,2018,114558.0,49692.0
279,Perly-Certoux,2010,133878.0,64904.0
280,Perly-Certoux,2011,137559.0,62713.0
281,Perly-Certoux,2012,137319.0,62050.0
282,Perly-Certoux,2013,135456.0,61095.0
283,Perly-Certoux,2014,139874.0,62911.0
284,Perly-Certoux,2015,137899.0,62661.0
285,Perly-Certoux,2016,140271.0,60955.0
286,Perly-Certoux,2017,137759.0,60881.0
287,Perly-Certoux,2018,139409.0,61402.0
288,Plan-les-Ouates,2010,161330.0,55130.0
289,Plan-les-Ouates,2011,162628.0,55153.0
290,Plan-les-Ouates,2012,163640.0,52588.0
291,Plan-les-Ouates,2013,165205.0,54813.0
292,Plan-les-Ouates,2014,164950.0,57165.0
293,Plan-les-Ouates,2015,165826.0,55124.0
294,Plan-les-Ouates,2016,166471.0,54768.0
295,Plan-les-Ouates,2017,168410.0,55729.0
296,Plan-les-Ouates,2018,170378.0,54783.0
297,Pregny-Chambésy,2010,168387.0,47424.0
298,Pregny-Chambésy,2011,172835.0,42096.0
299,Pregny-Chambésy,2012,168936.0,42656.0
300,Pregny-Chambésy,2013,175705.0,46208.0
301,Pregny-Chambésy,2014,174028.0,52684.0
302,Pregny-Chambésy,2015,177488.0,52929.0
303,Pregny-Chambésy,2016,176059.0,45155.0
304,Pregny-Chambésy,2017,177000.0,47364.0
305,Pregny-Chambésy,2018,188133.0,54322.0
306,Presinge,2010,176300.0,38643.0
307,Presinge,2011,182019.0,38063.0
308,Presinge,2012,162591.0,36156.0
309,Presinge,2013,162954.0,38603.0
310,Presinge,2014,163473.0,62788.0
311,Presinge,2015,181177.0,55211.0
312,Presinge,2016,168137.0,68047.0
313,Presinge,2017,164723.0,63276.0
314,Presinge,2018,168420.0,59936.0
